place_name,menu_name,menu_price
일신기사식당,순두부,-
일신기사식당,비빔밥,-
일신기사식당,삼계탕,-
일신기사식당,불고기백반,-
일신기사식당,갈치조림,-
정,매운맛 탕수육 (소),-
정,고추간짜장,-
정,탕수육 (소),-
정,깐풍기(소),-
정,삼선짬뽕,-
정,고추짜장,-
정,전가복 (소),-
정,홍소탕면,-
와플하우스,딸기빙수,-
와플하우스,버터&잼 와플,-
와플하우스,카라멜라떼,-
와플하우스,바닐라라떼,-
와플하우스,카페라떼,-
와플하우스,헤이즐넛아메리카노,-
와플하우스,아메리카노,-
와플하우스,에그버거,-
와플하우스,불고기버거,-
와플하우스,커피쉐이크,-
와플하우스,청포도에이드,-
와플하우스,베리베리에이드,-
와플하우스,요크셔밀크티,-
쌍대포 본점,특삼겹 너덜이,-
쌍대포 본점,일삼꼬들,-
쌍대포 본점,한방껍데기,-
쌍대포 본점,모듬스페셜,-
쌍대포 본점,생오겹,-
쌍대포 본점,생삼겹살,-
쌍대포 본점,통갈매기살,-
쌍대포 본점,항정살,-
쌍대포 본점,대구막창,-
쌍대포 본점,양념돼지갈비,-
쌍대포 본점,차돌된장밥,-
쌍대포 본점,순두부찌개,-
쌍대포 본점,차돌 된장찌개,-
쌍대포 본점,생고기김치찌개,-
쌍대포 본점,치즈 계란말이,-
삼정카페,삼정프렌치토스트,-
삼정카페,토마토스튜,-
삼정카페,스탠다드샌드위치 [단체가능],-
삼정카페,베이직프렌치토스트,-
삼정카페,삼정플레이트,-
삼정카페,아이스크림 프렌치토스트,-
삼정카페,바나나푸딩토스트,-
삼정카페,트리플치즈프렌치토스트,-
삼정카페,잠봉프렌치토스트,-
까치네,쫄면순두부,-
까치네,돈가스+쫄순,-
까치네,치킨+돈가스+쫄순,-
까치네,쫄순+치즈알밥,-
까치네,돈가스+냉면,-
까치네,돈가스+순두부,-
까치네,치킨가스+냉면,-
까치네,치킨가스+쫄순,-
까치네,냉면+치즈알밥,-
까치네,돈가스,-
까치네,김치볶음밥,-
까치네,오므라이스,-
까치네,제육덮밥,-
까치네,알밥,-
까치네,치즈알밥,-
버거인,지못미버거,-
버거인,더블버거,-
버거인,에그뿜뿜,-
버거인,하와이안버거,-
버거인,싱글버거,-
버거인,음료세트,-
버거인,트러플 감자튀김,-
버거인,오랜지쥬스,-
두리식당,된장찌개,-
두리식당,김치찌개,-
두리식당,동태찌개,-
두리식당,부대찌개,-
두리식당,북어찜백반,-
두리식당,과일류,-
두리식당,번데기,-
두리식당,노가리,-
두리식당,골뱅이,-
두리식당,마른안주,-
두리식당,돌솥비빔밥,-
두리식당,비빔밥,-
해바라기정육식당 청파점,소한마리(미국산) 1kg,-
해바라기정육식당 청파점,소반마리(미국산) 500 g,-
해바라기정육식당 청파점,소반+돼반 1kg,-
해바라기정육식당 청파점,국내산숙성등심 200 g,-
해바라기정육식당 청파점,갈비살 200 g,-
해바라기정육식당 청파점,우삼겹 200 g,-
해바라기정육식당 청파점,육회 200 g,-
해바라기정육식당 청파점,육회 소 100 g,-
해바라기정육식당 청파점,돼지한마리 1kg,-
해바라기정육식당 청파점,돼지반마리 500 g,-
해바라기정육식당 청파점,국내산 생삼겹 200 g,-
해바라기정육식당 청파점,국내산 오겹살 200 g,-
해바라기정육식당 청파점,항정살 200 g,-
해바라기정육식당 청파점,생목살 200 g,-
해바라기정육식당 청파점,돼지양념구이 300 g,-
양평매운탕,빠가+메기 특대,-
양평매운탕,빠가사리 특,-
양평매운탕,메기 특,-
양평매운탕,빙어튀김,-
부암동치킨 숙대점,후라이드치킨,-
부암동치킨 숙대점,매콤 양념치킨,-
부암동치킨 숙대점,골뱅이 국수,-
부암동치킨 숙대점,부산오뎅탕,-
부암동치킨 숙대점,닭모래집,-
굴다리소곱창,소곱창 (1인분),-
굴다리소곱창,대창 (1인분),-
굴다리소곱창,염통 (1인분),-
굴다리소곱창,볶음밥,-
굴다리소곱창,소주,-
굴다리소곱창,맥주,-
굴다리소곱창,청하,-
굴다리소곱창,음료,-
가야해장 용산본점,맑은 소뼈해장국,-
